Entity1,Relationship,Entity2,Evidence,Evidence URL
AWC,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
BAG,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
BDU,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
BDU,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
CAN,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
CAN,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
CAN,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
CAN,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
CEP,Receptor,DOP-2,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
CEP,Receptor,OCTR-1,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
CEP,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
DA,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
DA,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
DA9,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
DB,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
DB,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
DD,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
DD,Receptor,MOD-1,"Gürel et al., (2012)",https://dspace.mit.edu/handle/1721.1/85982
DVA,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
DVA,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
DVA,Receptor,SER-4,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
DVC,Receptor,SER-1,"Dernovici et al., (2007)",http://onlinelibrary.wiley.com/doi/10.1002/dneu.20340/abstract
DVC,Receptor,SER-4,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
HSN,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
HSN,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
I1,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
I2,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
I2,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
I3,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
I4,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
I6,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
IL1,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
IL2,Receptor,DOP-6,"Schafer et al., (n.d.)",THIS STUDY
IL2,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
LUA,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
M1,Receptor,SER-4,"Shyn et al., (2003)",http://www2.mrc-lmb.cam.ac.uk/groups/wschafer/Cregg_thesis.pdf
M2,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
M3,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
M4,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
M5,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
M5,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
MC,Receptor,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
MC,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
MI,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
NSM,Receptor,DOP-3,"Zhang et al., (2014)",http://www.ncbi.nlm.nih.gov/pubmed/24353061
NSM,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
NSM,Receptor,SER-4,"Gürel et al., (2012)",https://dspace.mit.edu/handle/1721.1/85982
NSM,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
OLL,Receptor,DOP-6,"Smith et al., (2010)",http://www.ncbi.nlm.nih.gov/pubmed/20537990
OLL,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
OLQ,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
PDA,Receptor,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PDA,Receptor,SER-2,"Rex et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/15569254
PDE,Receptor,DOP-2,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
PHA,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
PHA,Receptor,DOP-6,"Schafer et al., (n.d.)",THIS STUDY
PHA,Receptor,SER-3,"Suo et al., (2006)",http://www.jneurosci.org/content/26/40/10082.full
PHB,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
PHB,Receptor,SER-3,"Suo et al., (2006)",http://www.jneurosci.org/content/26/40/10082.full
PHC,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
PLM,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
PLN,Receptor,DOP-1,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PQR,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
PVC,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PVD,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
PVD,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
PVD,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
PVD,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PVD,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
PVPR,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
PVQ,Receptor,DOP-1,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PVQ,Receptor,DOP-6,"Schafer et al., (n.d.)",THIS STUDY
PVQ,Receptor,SER-1,"Carnell et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/16291940
PVQ,Receptor,SER-3,"Suo et al., (2006)",http://www.jneurosci.org/content/26/40/10082.full
PVT,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
PVT,Receptor,SER-1,"Dernovici et al., (2007)",http://onlinelibrary.wiley.com/doi/10.1002/dneu.20340/abstract
PVT,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PVT,Receptor,SER-4,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
PVT,Receptor,TYRA-3,"Hunt-Newbury et al., (2007)",http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0050237
RIA,Receptor,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIA,Receptor,SER-1,"Dernovici et al., (2007)",http://onlinelibrary.wiley.com/doi/10.1002/dneu.20340/abstract
RIA,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIB,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
RIB,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
RIB,Receptor,SER-4,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIC,Receptor,DOP-3,"Suo et al., (2009)",http://europepmc.org/abstract/MED/19609300
RIC,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
RIC,Receptor,SER-1,"Dernovici et al., (2007)",http://onlinelibrary.wiley.com/doi/10.1002/dneu.20340/abstract
RIC,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIC,Receptor,SER-6,"Yoshida et al., (2014)",http://onlinelibrary.wiley.com/doi/10.1002/jnr.23345/abstract
RID,Receptor,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RID,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
RID,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIF,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
RIM,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
RIM,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
RIM,Receptor,SER-4,"Shyn et al., (2003)",http://www2.mrc-lmb.cam.ac.uk/groups/wschafer/Cregg_thesis.pdf
RIS,Receptor,DOP-1,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RIS,Receptor,SER-4,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RMD,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
RMD,Receptor,SER-1,"Xiao et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16890216
RME,Receptor,MOD-1,"Gürel et al., (2012)",https://dspace.mit.edu/handle/1721.1/85982
RME,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
RMF,Receptor,SER-1,"Xiao et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16890216
RMH,Receptor,SER-1,"Xiao et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16890216
SAB,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
SDQ,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
SDQ,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
SDQ,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
SIA,Receptor,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
SIA,Receptor,DOP-3,"Suo et al., (2009)",http://europepmc.org/abstract/MED/19609300
SIA,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
SIA,Receptor,SER-3,"Suo et al., (2006)",http://www.jneurosci.org/content/26/40/10082.full
SIA,Receptor,SER-6,"Yoshida et al., (2014)",http://onlinelibrary.wiley.com/doi/10.1002/jnr.23345/abstract
SIB,Receptor,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
SMD,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
URY,Receptor,SER-1,"Dernovici et al., (2007)",http://onlinelibrary.wiley.com/doi/10.1002/dneu.20340/abstract
VA,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
VA,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
VA,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
VB,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
VB,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
VD,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
VD,Receptor,MOD-1,"Gürel et al., (2012)",https://dspace.mit.edu/handle/1721.1/85982
VD,Receptor,SER-2,"Donnelly et al., (2013)",http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001529
Dopamine,Ligand,DOP-1,"Suo et al., (2002)",http://europepmc.org/abstract/MED/11814642
Dopamine,Ligand,DOP-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
Dopamine,Ligand,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
Dopamine,Ligand,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
Dopamine,Ligand,DOP-5,"Carre-Pierrat et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/17082916
Dopamine,Ligand,DOP-6,"Keating et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14521838
Dopamine,Ligand,LGC-53,"Ringstad et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19574391
Octopamine,Ligand,OCTR-1,"Harris et al., (2010)",http://www.ncbi.nlm.nih.gov/pubmed/20534837
Octopamine,Ligand,SER-3,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
Octopamine,Ligand,SER-6,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
Serotonin,Ligand,MOD-1,"Ranganathan et al., (2000)",http://www.ncbi.nlm.nih.gov/pubmed/11100728
Serotonin,Ligand,SER-1,"Hamdan et al., (1999)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.1999.721372.x/abstract
Serotonin,Ligand,SER-4,"Olde et al., (1997)",http://link.springer.com/article/10.1007%2FBF02736863
Serotonin,Ligand,SER-5,"Hapiak et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19001289
Serotonin,Ligand,SER-7,"Hobson et al., (2006)",http://www.ncbi.nlm.nih.gov/pubmed/16204223
Tyramine,Ligand,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
Tyramine,Ligand,SER-2,"Rex et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/15569254
Tyramine,Ligand,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
Tyramine,Ligand,TYRA-3,"Hapiak et al., (2013)",http://www.jneurosci.org/content/33/35/14107.long
