Entity1,Relationship,Entity2,Evidence,Evidence URL
RIC,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RIC,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
RID,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RID,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
RID,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
RIG,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RIG,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RIM,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RIM,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
RIS,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
RIV,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RMD,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RME,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
RMG,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RMG,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
RMG,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RMG,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
SAA,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
SAA,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
SAB,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
SIA,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
SMD,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
SMDV,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
URA,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
URA,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
URB,Neuropeptide,FLP-3,"Li et al., 1999",http://www.ncbi.nlm.nih.gov/pubmed/10612695
URX,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
URX,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
URX,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
VC,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
VD,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
VD,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ADF,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
ADF,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
ADF,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ADF,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ADL,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ADL,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
AIA,Receptor,NPR-11,"Chalasani et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20364145
AIA,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
AIA,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
AIY,Receptor,CKR-2,"Wenick et al., 2004",http://www.sciencedirect.com/science/article/pii/S1534580704001650
AIY,Receptor,NPR-11,"Chalasani et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20364145
AIZ,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
ALM,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AQR,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
AS,Receptor,CKR-2,"Hu et al., 2011",http://www.ncbi.nlm.nih.gov/pubmed/21745640
AS,Receptor,NPR-3,"Keating et al., 2003",http://www.ncbi.nlm.nih.gov/pubmed/14521838
ASE,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
ASE,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
ASE,Receptor,NTR-1,"Beets et al., 2012",http://europepmc.org/abstract/MED/23112336
ASG,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
ASG,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
ASH,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
ASH,Receptor,NPR-2,"Luo et al., 2015",http://www.genetics.org/content/199/2/523
ASH,Receptor,NTR-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ASH,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ASI,Receptor,NPR-17,"Harris et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20534837
ASI,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
ASJ,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
ASK,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
AUA,Receptor,NPR-1,"Coates et al., 2002",http://www.ncbi.nlm.nih.gov/pubmed/12410311
AUA,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
AVA,Receptor,NPR-4,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
AVD,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AVE,Receptor,FRPR-4,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
AVF,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AVG,Receptor,NPR-17,"Harris et al., 2010",http://www.ncbi.nlm.nih.gov/pubmed/20534837
AVG,Receptor,NTR-2,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
AVM,Receptor,PDFR-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AWA,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
AWB,Receptor,NPR-5,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
BAG,Receptor,NPR-4,"Cohen et al., 2009",http://www.sciencedirect.com/science/article/pii/S1550413109000412
